"kode_kec","kode_kab","kecamatan_value","kecamatan_display"
"1101010","1101","KECAMATAN_TEUPAH_SELATAN","Kecamatan Teupah Selatan"
"1101020","1101","KECAMATAN_SIMEULUE_TIMUR","Kecamatan Simeulue Timur"
"1101021","1101","KECAMATAN_TEUPAH_BARAT","Kecamatan Teupah Barat"
"1101022","1101","KECAMATAN_TEUPAH_TENGAH","Kecamatan Teupah Tengah"
"1101030","1101","KECAMATAN_SIMEULUE_TENGAH","Kecamatan Simeulue Tengah"
"1101031","1101","KECAMATAN_TELUK_DALAM","Kecamatan Teluk Dalam"
"1101032","1101","KECAMATAN_SIMEULUE_CUT","Kecamatan Simeulue Cut"
"1101040","1101","KECAMATAN_SALANG","Kecamatan Salang"
"1101050","1101","KECAMATAN_SIMEULUE_BARAT","Kecamatan Simeulue Barat"
"1101051","1101","KECAMATAN_ALAFAN","Kecamatan Alafan"
"1102010","1102","KECAMATAN_PULAU_BANYAK","Kecamatan Pulau Banyak"
"1102011","1102","KECAMATAN_PULAU_BANYAK_BARAT","Kecamatan Pulau Banyak Barat"
"1102020","1102","KECAMATAN_SINGKIL","Kecamatan Singkil"
"1102021","1102","KECAMATAN_SINGKIL_UTARA","Kecamatan Singkil Utara"
"1102022","1102","KECAMATAN_KUALA_BARU","Kecamatan Kuala Baru"
"1102030","1102","KECAMATAN_SIMPANG_KANAN","Kecamatan Simpang Kanan"
"1102031","1102","KECAMATAN_GUNUNG_MERIAH","Kecamatan Gunung Meriah"
"1102032","1102","KECAMATAN_DANAU_PARIS","Kecamatan Danau Paris"
"1102033","1102","KECAMATAN_SURO","Kecamatan Suro"
"1102042","1102","KECAMATAN_SINGKOHOR","Kecamatan Singkohor"
"1102043","1102","KECAMATAN_KOTA_BAHARU","Kecamatan Kota Baharu"
"1103010","1103","KECAMATAN_TRUMON","Kecamatan Trumon"
"1103011","1103","KECAMATAN_TRUMON_TIMUR","Kecamatan Trumon Timur"
"1103012","1103","KECAMATAN_TRUMON_TENGAH","Kecamatan Trumon Tengah"
"1103020","1103","KECAMATAN_BAKONGAN","Kecamatan Bakongan"
"1103021","1103","KECAMATAN_BAKONGAN_TIMUR","Kecamatan Bakongan Timur"
"1103022","1103","KECAMATAN_KOTA_BAHAGIA","Kecamatan Kota Bahagia"
"1103030","1103","KECAMATAN_KLUET_SELATAN","Kecamatan Kluet Selatan"
"1103031","1103","KECAMATAN_KLUET_TIMUR","Kecamatan Kluet Timur"
"1103040","1103","KECAMATAN_KLUET_UTARA","Kecamatan Kluet Utara"
"1103041","1103","KECAMATAN_PASIE_RAJA","Kecamatan Pasie Raja"
"1103042","1103","KECAMATAN_KLUET_TENGAH","Kecamatan Kluet Tengah"
"1103050","1103","KECAMATAN_TAPAK_TUAN","Kecamatan Tapak Tuan"
"1103060","1103","KECAMATAN_SAMA_DUA","Kecamatan Sama Dua"
"1103070","1103","KECAMATAN_SAWANG","Kecamatan Sawang"
"1103080","1103","KECAMATAN_MEUKEK","Kecamatan Meukek"
"1103090","1103","KECAMATAN_LABUHAN_HAJI","Kecamatan Labuhan Haji"
"1103091","1103","KECAMATAN_LABUHAN_HAJI_TIMUR","Kecamatan Labuhan Haji Timur"
"1103092","1103","KECAMATAN_LABUHAN_HAJI_BARAT","Kecamatan Labuhan Haji Barat"
"1104010","1104","KECAMATAN_LAWE_ALAS","Kecamatan Lawe Alas"
"1104011","1104","KECAMATAN_BABUL_RAHMAH","Kecamatan Babul Rahmah"
"1104012","1104","KECAMATAN_TANOH_ALAS","Kecamatan Tanoh Alas"
"1104020","1104","KECAMATAN_LAWE_SIGALA-GALA","Kecamatan Lawe Sigala-Gala"
"1104021","1104","KECAMATAN_BABUL_MAKMUR","Kecamatan Babul Makmur"
"1104022","1104","KECAMATAN_SEMADAM","Kecamatan Semadam"
"1104023","1104","KECAMATAN_LEUSER","Kecamatan Leuser"
"1104030","1104","KECAMATAN_BAMBEL","Kecamatan Bambel"
"1104031","1104","KECAMATAN_BUKIT_TUSAM","Kecamatan Bukit Tusam"
"1104032","1104","KECAMATAN_LAWE_SUMUR","Kecamatan Lawe Sumur"
"1104040","1104","KECAMATAN_BABUSSALAM","Kecamatan Babussalam"
"1104041","1104","KECAMATAN_LAWE_BULAN","Kecamatan Lawe Bulan"
"1104050","1104","KECAMATAN_BADAR","Kecamatan Badar"
"1104051","1104","KECAMATAN_DARUL_HASANAH","Kecamatan Darul Hasanah"
"1104052","1104","KECAMATAN_KETAMBE","Kecamatan Ketambe"
"1104053","1104","KECAMATAN_DELENG_POKHKISEN","Kecamatan Deleng Pokhkisen"
"1105080","1105","KECAMATAN_SERBA_JADI","Kecamatan Serba Jadi"
"1105081","1105","KECAMATAN_SIMPANG_JERNIH","Kecamatan Simpang Jernih"
"1105082","1105","KECAMATAN_PEUNARON","Kecamatan Peunaron"
"1105090","1105","KECAMATAN_BIREM_BAYEUN","Kecamatan Birem Bayeun"
"1105100","1105","KECAMATAN_RANTAU_SELAMAT","Kecamatan Rantau Selamat"
"1105101","1105","KECAMATAN_SUNGAI_RAYA","Kecamatan Sungai Raya"
"1105110","1105","KECAMATAN_PEUREULAK","Kecamatan Peureulak"
"1105111","1105","KECAMATAN_PEUREULAK_TIMUR","Kecamatan Peureulak Timur"
"1105112","1105","KECAMATAN_PEUREULAK_BARAT","Kecamatan Peureulak Barat"
"1105120","1105","KECAMATAN_RANTO_PEUREULAK","Kecamatan Ranto Peureulak"
"1105130","1105","KECAMATAN_IDI_RAYEUK","Kecamatan Idi Rayeuk"
"1105131","1105","KECAMATAN_PEUDAWA","Kecamatan Peudawa"
"1105132","1105","KECAMATAN_BANDA_ALAM","Kecamatan Banda Alam"
"1105133","1105","KECAMATAN_IDI_TUNONG","Kecamatan Idi Tunong"
"1105134","1105","KECAMATAN_DARUL_IHSAN","Kecamatan Darul Ihsan"
"1105135","1105","KECAMATAN_IDI_TIMUR","Kecamatan Idi Timur"
"1105140","1105","KECAMATAN_DARUL_AMAN","Kecamatan Darul Aman"
"1105150","1105","KECAMATAN_NURUSSALAM","Kecamatan Nurussalam"
"1105151","1105","KECAMATAN_DARUL_FALAH","Kecamatan Darul Falah"
"1105160","1105","KECAMATAN_JULOK","Kecamatan Julok"
"1105161","1105","KECAMATAN_INDRA_MAKMUR","Kecamatan Indra Makmur"
"1105170","1105","KECAMATAN_PANTE_BIDARI","Kecamatan Pante Bidari"
"1105180","1105","KECAMATAN_SIMPANG_ULIM","Kecamatan Simpang Ulim"
"1105181","1105","KECAMATAN_MADAT","Kecamatan Madat"
"1106010","1106","KECAMATAN_LINGE","Kecamatan Linge"
"1106011","1106","KECAMATAN_ATU_LINTANG","Kecamatan Atu Lintang"
"1106012","1106","KECAMATAN_JAGONG_JEGET","Kecamatan Jagong Jeget"
"1106020","1106","KECAMATAN_BINTANG","Kecamatan Bintang"
"1106031","1106","KECAMATAN_LUT_TAWAR","Kecamatan Lut Tawar"
"1106032","1106","KECAMATAN_KEBAYAKAN","Kecamatan Kebayakan"
"1106040","1106","KECAMATAN_PEGASING","Kecamatan Pegasing"
"1106041","1106","KECAMATAN_BIES","Kecamatan Bies"
"1106050","1106","KECAMATAN_BEBESEN","Kecamatan Bebesen"
"1106051","1106","KECAMATAN_KUTE_PANANG","Kecamatan Kute Panang"
"1106060","1106","KECAMATAN_SILIH_NARA","Kecamatan Silih Nara"
"1106061","1106","KECAMATAN_KETOL","Kecamatan Ketol"
"1106062","1106","KECAMATAN_CELALA","Kecamatan Celala"
"1106063","1106","KECAMATAN_RUSIP_ANTARA","Kecamatan Rusip Antara"
"1107050","1107","KECAMATAN_JOHAN_PAHLAWAN","Kecamatan Johan Pahlawan"
"1107060","1107","KECAMATAN_SAMATIGA","Kecamatan Samatiga"
"1107061","1107","KECAMATAN_BUBON","Kecamatan Bubon"
"1107062","1107","KECAMATAN_ARONGAN_LAMBALEK","Kecamatan Arongan Lambalek"
"1107070","1107","KECAMATAN_WOYLA","Kecamatan Woyla"
"1107071","1107","KECAMATAN_WOYLA_BARAT","Kecamatan Woyla Barat"
"1107072","1107","KECAMATAN_WOYLA_TIMUR","Kecamatan Woyla Timur"
"1107080","1107","KECAMATAN_KAWAY_XVI","Kecamatan Kaway Xvi"
"1107081","1107","KECAMATAN_MEUREUBO","Kecamatan Meureubo"
"1107082","1107","KECAMATAN_PANTAI_CEUREMEN","Kecamatan Pantai Ceuremen"
"1107083","1107","KECAMATAN_PANTON_REU","Kecamatan Panton Reu"
"1107090","1107","KECAMATAN_SUNGAI_MAS","Kecamatan Sungai Mas"
"1108010","1108","KECAMATAN_LHOONG","Kecamatan Lhoong"
"1108020","1108","KECAMATAN_LHOKNGA","Kecamatan Lhoknga"
"1108021","1108","KECAMATAN_LEUPUNG","Kecamatan Leupung"
"1108030","1108","KECAMATAN_INDRAPURI","Kecamatan Indrapuri"
"1108031","1108","KECAMATAN_KUTA_COT_GLIE","Kecamatan Kuta Cot Glie"
"1108040","1108","KECAMATAN_SEULIMEUM","Kecamatan Seulimeum"
"1108041","1108","KECAMATAN_KOTA_JANTHO","Kecamatan Kota Jantho"
"1108042","1108","KECAMATAN_LEMBAH_SEULAWAH","Kecamatan Lembah Seulawah"
"1108050","1108","KECAMATAN_MESJID_RAYA","Kecamatan Mesjid Raya"
"1108060","1108","KECAMATAN_DARUSSALAM","Kecamatan Darussalam"
"1108061","1108","KECAMATAN_BAITUSSALAM","Kecamatan Baitussalam"
"1108070","1108","KECAMATAN_KUTA_BARO","Kecamatan Kuta Baro"
"1108080","1108","KECAMATAN_MONTASIK","Kecamatan Montasik"
"1108081","1108","KECAMATAN_BLANG_BINTANG","Kecamatan Blang Bintang"
"1108090","1108","KECAMATAN_INGIN_JAYA","Kecamatan Ingin Jaya"
"1108091","1108","KECAMATAN_KRUENG_BARONA_JAYA","Kecamatan Krueng Barona Jaya"
"1108100","1108","KECAMATAN_SUKA_MAKMUR","Kecamatan Suka Makmur"
"1108101","1108","KECAMATAN_KUTA_MALAKA","Kecamatan Kuta Malaka"
"1108102","1108","KECAMATAN_SIMPANG_TIGA","Kecamatan Simpang Tiga"
"1108110","1108","KECAMATAN_DARUL_IMARAH","Kecamatan Darul Imarah"
"1108111","1108","KECAMATAN_DARUL_KAMAL","Kecamatan Darul Kamal"
"1108120","1108","KECAMATAN_PEUKAN_BADA","Kecamatan Peukan Bada"
"1108130","1108","KECAMATAN_PULO_ACEH","Kecamatan Pulo Aceh"
"1109010","1109","KECAMATAN_GEUMPANG","Kecamatan Geumpang"
"1109011","1109","KECAMATAN_MANE","Kecamatan Mane"
"1109070","1109","KECAMATAN_GLUMPANG_TIGA","Kecamatan Glumpang Tiga"
"1109071","1109","KECAMATAN_GLUMPANG_BARO","Kecamatan Glumpang Baro"
"1109080","1109","KECAMATAN_MUTIARA","Kecamatan Mutiara"
"1109081","1109","KECAMATAN_MUTIARA_TIMUR","Kecamatan Mutiara Timur"
"1109090","1109","KECAMATAN_TIRO/TRUSEB","Kecamatan Tiro/Truseb"
"1109100","1109","KECAMATAN_TANGSE","Kecamatan Tangse"
"1109111","1109","KECAMATAN_KEUMALA","Kecamatan Keumala"
"1109112","1109","KECAMATAN_TITEUE","Kecamatan Titeue"
"1109120","1109","KECAMATAN_SAKTI","Kecamatan Sakti"
"1109130","1109","KECAMATAN_MILA","Kecamatan Mila"
"1109140","1109","KECAMATAN_PADANG_TIJI","Kecamatan Padang Tiji"
"1109150","1109","KECAMATAN_DELIMA","Kecamatan Delima"
"1109151","1109","KECAMATAN_GRONG_GRONG","Kecamatan Grong Grong"
"1109160","1109","KECAMATAN_INDRAJAYA","Kecamatan Indrajaya"
"1109170","1109","KECAMATAN_PEUKAN_BARO","Kecamatan Peukan Baro"
"1109180","1109","KECAMATAN_KEMBANG_TANJONG","Kecamatan Kembang Tanjong"
"1109190","1109","KECAMATAN_SIMPANG_TIGA","Kecamatan Simpang Tiga"
"1109200","1109","KECAMATAN_KOTA_SIGLI","Kecamatan Kota Sigli"
"1109210","1109","KECAMATAN_PIDIE","Kecamatan Pidie"
"1109220","1109","KECAMATAN_BATEE","Kecamatan Batee"
"1109230","1109","KECAMATAN_MUARA_TIGA","Kecamatan Muara Tiga"
"1110010","1110","KECAMATAN_SAMALANGA","Kecamatan Samalanga"
"1110011","1110","KECAMATAN_SIMPANG_MAMPLAM","Kecamatan Simpang Mamplam"
"1110020","1110","KECAMATAN_PANDRAH","Kecamatan Pandrah"
"1110030","1110","KECAMATAN_JEUNIEB","Kecamatan Jeunieb"
"1110031","1110","KECAMATAN_PEULIMBANG","Kecamatan Peulimbang"
"1110040","1110","KECAMATAN_PEUDADA","Kecamatan Peudada"
"1110050","1110","KECAMATAN_JULI","Kecamatan Juli"
"1110060","1110","KECAMATAN_JEUMPA","Kecamatan Jeumpa"
"1110061","1110","KECAMATAN_KOTA_JUANG","Kecamatan Kota Juang"
"1110062","1110","KECAMATAN_KUALA","Kecamatan Kuala"
"1110070","1110","KECAMATAN_JANGKA","Kecamatan Jangka"
"1110080","1110","KECAMATAN_PEUSANGAN","Kecamatan Peusangan"
"1110081","1110","KECAMATAN_PEUSANGAN_SELATAN","Kecamatan Peusangan Selatan"
"1110082","1110","KECAMATAN_PEUSANGAN_SIBLAH_KRUENG","Kecamatan Peusangan Siblah Krueng"
"1110090","1110","KECAMATAN_MAKMUR","Kecamatan Makmur"
"1110100","1110","KECAMATAN_GANDA_PURA","Kecamatan Ganda Pura"
"1110101","1110","KECAMATAN_KUTA_BLANG","Kecamatan Kuta Blang"
"1111010","1111","KECAMATAN_SAWANG","Kecamatan Sawang"
"1111020","1111","KECAMATAN_NISAM","Kecamatan Nisam"
"1111021","1111","KECAMATAN_NISAM_ANTARA","Kecamatan Nisam Antara"
"1111022","1111","KECAMATAN_BANDA_BARO","Kecamatan Banda Baro"
"1111030","1111","KECAMATAN_KUTA_MAKMUR","Kecamatan Kuta Makmur"
"1111031","1111","KECAMATAN_SIMPANG_KERAMAT","Kecamatan Simpang Keramat"
"1111040","1111","KECAMATAN_SYAMTALIRA_BAYU","Kecamatan Syamtalira Bayu"
"1111041","1111","KECAMATAN_GEUREUDONG_PASE","Kecamatan Geureudong Pase"
"1111050","1111","KECAMATAN_MEURAH_MULIA","Kecamatan Meurah Mulia"
"1111060","1111","KECAMATAN_MATANGKULI","Kecamatan Matangkuli"
"1111061","1111","KECAMATAN_PAYA_BAKONG","Kecamatan Paya Bakong"
"1111062","1111","KECAMATAN_PIRAK_TIMU","Kecamatan Pirak Timu"
"1111070","1111","KECAMATAN_COT_GIREK","Kecamatan Cot Girek"
"1111080","1111","KECAMATAN_TANAH_JAMBO_AYE","Kecamatan Tanah Jambo Aye"
"1111081","1111","KECAMATAN_LANGKAHAN","Kecamatan Langkahan"
"1111090","1111","KECAMATAN_SEUNUDDON","Kecamatan Seunuddon"
"1111100","1111","KECAMATAN_BAKTIYA","Kecamatan Baktiya"
"1111101","1111","KECAMATAN_BAKTIYA_BARAT","Kecamatan Baktiya Barat"
"1111110","1111","KECAMATAN_LHOKSUKON","Kecamatan Lhoksukon"
"1111120","1111","KECAMATAN_TANAH_LUAS","Kecamatan Tanah Luas"
"1111121","1111","KECAMATAN_NIBONG","Kecamatan Nibong"
"1111130","1111","KECAMATAN_SAMUDERA","Kecamatan Samudera"
"1111140","1111","KECAMATAN_SYAMTALIRA_ARON","Kecamatan Syamtalira Aron"
"1111150","1111","KECAMATAN_TANAH_PASIR","Kecamatan Tanah Pasir"
"1111151","1111","KECAMATAN_LAPANG","Kecamatan Lapang"
"1111160","1111","KECAMATAN_MUARA_BATU","Kecamatan Muara Batu"
"1111170","1111","KECAMATAN_DEWANTARA","Kecamatan Dewantara"
"1112010","1112","KECAMATAN_MANGGENG","Kecamatan Manggeng"
"1112011","1112","KECAMATAN_LEMBAH_SABIL","Kecamatan Lembah Sabil"
"1112020","1112","KECAMATAN_TANGAN-TANGAN","Kecamatan Tangan-Tangan"
"1112021","1112","KECAMATAN_SETIA","Kecamatan Setia"
"1112030","1112","KECAMATAN_BLANG_PIDIE","Kecamatan Blang Pidie"
"1112031","1112","KECAMATAN_JEUMPA","Kecamatan Jeumpa"
"1112040","1112","KECAMATAN_SUSOH","Kecamatan Susoh"
"1112050","1112","KECAMATAN_KUALA_BATEE","Kecamatan Kuala Batee"
"1112060","1112","KECAMATAN_BABAH_ROT","Kecamatan Babah Rot"
"1113010","1113","KECAMATAN_KUTA_PANJANG","Kecamatan Kuta Panjang"
"1113011","1113","KECAMATAN_BLANG_JERANGO","Kecamatan Blang Jerango"
"1113020","1113","KECAMATAN_BLANGKEJEREN","Kecamatan Blangkejeren"
"1113021","1113","KECAMATAN_PUTRI_BETUNG","Kecamatan Putri Betung"
"1113022","1113","KECAMATAN_DABUN_GELANG","Kecamatan Dabun Gelang"
"1113023","1113","KECAMATAN_BLANG_PEGAYON","Kecamatan Blang Pegayon"
"1113030","1113","KECAMATAN_PINING","Kecamatan Pining"
"1113040","1113","KECAMATAN_RIKIT_GAIB","Kecamatan Rikit Gaib"
"1113041","1113","KECAMATAN_PANTAN_CUACA","Kecamatan Pantan Cuaca"
"1113050","1113","KECAMATAN_TERANGUN","Kecamatan Terangun"
"1113051","1113","KECAMATAN_TRIPE_JAYA","Kecamatan Tripe Jaya"
"1114010","1114","KECAMATAN_TAMIANG_HULU","Kecamatan Tamiang Hulu"
"1114011","1114","KECAMATAN_BANDAR_PUSAKA","Kecamatan Bandar Pusaka"
"1114020","1114","KECAMATAN_KEJURUAN_MUDA","Kecamatan Kejuruan Muda"
"1114021","1114","KECAMATAN_TENGGULUN","Kecamatan Tenggulun"
"1114030","1114","KECAMATAN_RANTAU","Kecamatan Rantau"
"1114040","1114","KECAMATAN_KOTA_KUALA_SIMPANG","Kecamatan Kota Kuala Simpang"
"1114050","1114","KECAMATAN_SERUWAY","Kecamatan Seruway"
"1114060","1114","KECAMATAN_BENDAHARA","Kecamatan Bendahara"
"1114061","1114","KECAMATAN_BANDA_MULIA","Kecamatan Banda Mulia"
"1114070","1114","KECAMATAN_KARANG_BARU","Kecamatan Karang Baru"
"1114071","1114","KECAMATAN_SEKERAK","Kecamatan Sekerak"
"1114080","1114","KECAMATAN_MANYAK_PAYED","Kecamatan Manyak Payed"
"1115010","1115","KECAMATAN_DARUL_MAKMUR","Kecamatan Darul Makmur"
"1115011","1115","KECAMATAN_TRIPA_MAKMUR","Kecamatan Tripa Makmur"
"1115020","1115","KECAMATAN_KUALA","Kecamatan Kuala"
"1115021","1115","KECAMATAN_KUALA_PESISIR","Kecamatan Kuala Pesisir"
"1115022","1115","KECAMATAN_TADU_RAYA","Kecamatan Tadu Raya"
"1115030","1115","KECAMATAN_BEUTONG","Kecamatan Beutong"
"1115031","1115","KECAMATAN_BEUTONG_ATEUH_BANGGALANG","Kecamatan Beutong Ateuh Banggalang"
"1115040","1115","KECAMATAN_SEUNAGAN","Kecamatan Seunagan"
"1115041","1115","KECAMATAN_SUKA_MAKMUE","Kecamatan Suka Makmue"
"1115050","1115","KECAMATAN_SEUNAGAN_TIMUR","Kecamatan Seunagan Timur"
"1116010","1116","KECAMATAN_TEUNOM","Kecamatan Teunom"
"1116011","1116","KECAMATAN_PASIE_RAYA","Kecamatan Pasie Raya"
"1116020","1116","KECAMATAN_PANGA","Kecamatan Panga"
"1116030","1116","KECAMATAN_KRUENG_SABEE","Kecamatan Krueng Sabee"
"1116040","1116","KECAMATAN_SETIA_BAKTI","Kecamatan Setia Bakti"
"1116050","1116","KECAMATAN_SAMPOINIET","Kecamatan Sampoiniet"
"1116051","1116","KECAMATAN_DARUL_HIKMAH","Kecamatan Darul Hikmah"
"1116060","1116","KECAMATAN_JAYA","Kecamatan Jaya"
"1116061","1116","KECAMATAN_INDRA_JAYA","Kecamatan Indra Jaya"
"1117010","1117","KECAMATAN_TIMANG_GAJAH","Kecamatan Timang Gajah"
