kode_kec,kode_kab,kecamatan_value,kecamatan_display,lat,long
1604011,1604,KECAMATAN_TANJUNG_SAKTI_PUMI,Kecamatan Tanjung Sakti Pumi,-4.1677363,103.0688641
1604012,1604,KECAMATAN_TANJUNG_SAKTI_PUMU,Kecamatan Tanjung Sakti Pumu,-4.1331143,103.0377419
1604040,1604,KECAMATAN_KOTA_AGUNG,Kecamatan Kota Agung,-5.4918417,104.6235035
1604041,1604,KECAMATAN_MULAK_ULU,Kecamatan Mulak Ulu,-4.0482793,103.5181001
1604042,1604,KECAMATAN_TANJUNG_TEBAT,Kecamatan Tanjung Tebat,-4.0234531,103.4343941
1604043,1604,KECAMATAN_MULAK_SEBINGKAI,Kecamatan Mulak Sebingkai,-3.9783251,103.5206075
1604050,1604,KECAMATAN_PULAU_PINANG,Kecamatan Pulau Pinang,-3.8538779,103.521311
1604051,1604,KECAMATAN_PAGAR_GUNUNG,Kecamatan Pagar Gunung,-3.917132,103.5101526
1604052,1604,KECAMATAN_GUMAY_ULU,Kecamatan Gumay Ulu,-3.9200473,103.4541765
1604060,1604,KECAMATAN_JARAI,Kecamatan Jarai,-3.9544788,103.1953789
1604061,1604,KECAMATAN_PAJAR_BULAN,Kecamatan Pajar Bulan,-3.9646039,103.2549353
1604062,1604,KECAMATAN_MUARA_PAYANG,Kecamatan Muara Payang,-3.9032902,103.1457728
1604063,1604,KECAMATAN_SUKAMERINDU,Kecamatan Sukamerindu,-3.9684911,103.2120313
1604111,1604,KECAMATAN_KIKIM_BARAT,Kecamatan Kikim Barat,-3.6149555,103.2031036
1604112,1604,KECAMATAN_KIKIM_TIMUR,Kecamatan Kikim Timur,-3.6057084,103.4371765
1604113,1604,KECAMATAN_KIKIM_SELATAN,Kecamatan Kikim Selatan,-3.7491169,103.2532994
1604114,1604,KECAMATAN_KIKIM_TENGAH,Kecamatan Kikim Tengah,-3.6939166,103.2669586
1604120,1604,KECAMATAN_LAHAT,Kecamatan Lahat,-3.7853639,103.5392906
1604121,1604,KECAMATAN_GUMAY_TALANG,Kecamatan Gumay Talang,-3.7617635,103.4665814
1604122,1604,KECAMATAN_PSEKSU,Kecamatan Pseksu,-3.7756644,103.3918367
1604123,1604,KECAMATAN_LAHAT_SELATAN,Kecamatan Lahat Selatan,-3.7853639,103.5392906
1604131,1604,KECAMATAN_MERAPI_BARAT,Kecamatan Merapi Barat,-3.7877281,103.6451491
1604132,1604,KECAMATAN_MERAPI_TIMUR,Kecamatan Merapi Timur,-3.6792208,103.6966129
1604133,1604,KECAMATAN_MERAPI_SELATAN,Kecamatan Merapi Selatan,-3.7877281,103.6451491
